"Id","TieuDe","NoiDung","NgayDang"
"1","Danh sách sinh viên bị hủy học phần học kỳ 1 năm 2022-2023","Danh sách sinh viên bị hủy học phần học kỳ 1 năm 2022-2023
Danh sách sinh viên bị hủy học phần học kỳ 1 năm 2022-2023

Sinh viên bị hủy học phần và các sinh viên chưa đăng ký học phần đăng ký lại vào đợt 2 từ ngày 28/08/2022 đến 03/09/2022.
Đăng ký bổ sung đợt 3: từ ngày 05/09/2022 đến 11/09/2022.
Đăng ký học lại với các học phần của K45 : từ ngày 03/10/2022 đến 04/10/2022.
Kết thúc đợt đăng ký và Nhà trường không giải quyết cho bất kỳ trường hợp nào đăng ký học phần quá gian.","2025-06-01"
"2","Danh sách sinh viên và danh sách các lớp học phần bị hủy đăng ký học phần học kỳ 2 năm học 2021-2022","Sinh viên thuộc các lớp học phần bị hủy đăng ký lại vào các lớp khác bằng tài khoản cá nhân đợt 2 từ ngày 10/01/2022 đến ngày 16/01/2022. ","2025-06-01"
"3","Nhà trường tổ chức giảng dạy các lớp học phần theo kế hoạch giảng dạy học kỳ I bằng hình thức trực tuyến (trừ các lớp học phần thí nghiệm, thực hành) cho đến khi có thông báo mới.","Nhà trường tổ chức giảng dạy các lớp học phần theo kế hoạch giảng dạy học kỳ I bằng hình thức trực tuyến (trừ các lớp học phần thí nghiệm, thực hành) cho đến khi có thông báo mới.","2025-06-01"
